Locus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
10950at3193,47.218760673020974,-0.04143759881924782,0.32716439253749846,-0.12665681157370567,0.8992120298313384,0.9383099695982536
109808at3193,75.24637815053,0.3942881132758841,0.26131461186967303,1.5088636278499792,0.1313336364586974,0.24899906640811859
109843at3193,98.7567515579945,-1.4725234806066534,0.31187730222496174,-4.721483320849365,2.3413083402212087e-06,2.6397692600851194e-05
109895at3193,1269.689714491801,0.3880995323760286,0.29431110144326683,1.3186710609040382,0.1872791055742109,0.32080926097953544
110016at3193,195.20702194054778,0.528155938366805,0.34465632473384855,1.5324133070085366,0.1254204757605713,0.24039880761061014
110108at3193,684.2040465588244,0.43055597631344034,0.4454592024442904,0.9665441278369059,0.33377197697422056,0.4872838270111443
110263at3193,178.9205758819621,0.9761832143169104,0.363941752322829,2.6822512341233162,0.007312851766720466,0.0251980665317095
110291at3193,443.91676635087333,-1.0258443825483148,0.3336107155322467,-3.0749743182309657,0.0021052068039685355,0.009505190203263106
110469at3193,477.95629630565253,-0.6261587812711492,0.29901271975937016,-2.094087441414028,0.036252191595743215,0.09205859562797822
110509at3193,1040.0553966963846,-0.13900911690982407,0.23417774830646748,-0.5936051478635938,0.5527762371226266,0.6764405471798497
110540at3193,111.8610765687204,-1.878554977843671,0.5568658610736987,-3.3734425274726125,0.0007423454172022207,0.003821163756851726
110626at3193,63.505832343131694,-0.1930145081571703,0.3313582125509385,-0.5824950185216818,0.5602332959550695,0.6822972336918263
110655at3193,56.504752648758455,0.6221131563635409,0.35670937677367104,1.7440336499992437,0.08115322236306469,0.1734857151536944
110656at3193,743.2647233228295,0.28361928332416386,0.19302453089957797,1.4693432073238315,0.1417397230521338,0.2652673023741709
110660at3193,433.3238968884536,0.7837238501353974,0.2048075557652459,3.8266354344549462,0.00012990668926743132,0.0008836185519976255
110707at3193,319.41323410757013,-0.05040049004111041,0.2627157952735733,-0.19184415611032057,0.8478642817426377,0.9044173473782211
110727at3193,344.05778347897694,1.3242715116077866,0.39993160229754815,3.311244982892179,0.000928818553142994,0.00466636659192943
110743at3193,143.27640177484707,-0.33378484032919903,0.3195293785917145,-1.0446139312770353,0.2962014382239606,0.44504746769686554
110796at3193,228.1840836167291,0.7472455655821582,0.26137459088779796,2.858906686545263,0.00425103812504762,0.01686728195449766
110857at3193,76.94388017834689,-2.0124923306606504,0.8949166383854523,-2.2488042397909287,0.024524953520111,0.06725101783328868
110884at3193,783.5626957658405,-0.38506162542634076,0.15199370991511466,-2.533405004992573,0.011296035333588198,0.03669022329281748
110912at3193,897.7964850570766,-2.2087993347934214,0.3698002779925184,-5.972952066948172,2.3299837538166935e-09,5.2487268432752393e-08
111002at3193,944.4932209361108,-0.8606622076062227,0.4160288683693531,-2.0687559759485756,0.03856899152004561,0.09676890686765934
111015at3193,932.2865033382478,-1.8370958410638036,0.5595304267072259,-3.283281397000888,0.0010260618862267062,0.005046008571936501
111117at3193,499.780856889972,-1.3462977858759686,0.24657548071786645,-5.459982403588672,4.7618177633611274e-08,7.917466836699653e-07
111142at3193,22.300814260957612,0.33755044182880867,0.5951146460124044,0.5672023770387478,0.5705766932564145,0.6901606076051895
111222at3193,80.55627315118795,-1.6722664784128727,0.47930052223694375,-3.4889727860262636,0.0004848805109479684,0.0027161087444812666
111281at3193,172.2894195826,0.29528635455736235,0.21777659352271175,1.3559141034436613,0.17512649962596916,0.30497923251571524
111480at3193,24.13490073521447,-0.5251115409128152,0.4601808434608232,-1.1410982190472685,0.25382905234262987,0.40012931877939023
111504at3193,138.46893962987346,0.3810681643743474,0.23146792375495698,1.6463108935031723,0.09969976783883294,0.2052579276235268
11159at3193,313.60690948868734,0.42764643506646655,0.18621910811696615,2.2964691399867374,0.021649071688625007,0.060797325988832966
111675at3193,429.0593622238921,-1.018329290137546,0.40991924969177207,-2.4842192478232037,0.012983584244892026,0.0412755826905141
111730at3193,1729.4083968683108,-0.7248018198938984,0.27924251693061963,-2.595599795692939,0.009442597728721943,0.03115313738846058
111833at3193,37.84636722788296,-4.901929416415568,2.0275546502748507,-2.417655877118318,0.015620841844830405,0.047087285848805324
111841at3193,261.2454042017486,0.4536195883957854,0.2182772132216485,2.0781811426883103,0.03769267826039903,0.09502546444709503
111902at3193,429.38077486857946,-0.1252072127472225,0.19141713157470194,-0.6541066189697836,0.5130431174276623,0.6451385373439871
112017at3193,285.42064651827,0.15974895655906232,0.2635816090848473,0.6060701925058775,0.5444681434096705,0.6696503603836318
112046at3193,297.86932178062585,0.7574127298761241,0.27473394861761047,2.7568952933819326,0.0058353033812047015,0.021484992238354744
112084at3193,28.17236517203256,-0.6411864528497786,0.4823533919530429,-1.329287745347084,0.18375305572623601,0.31554315716923315
112126at3193,1210.758065479675,1.1649058403261248,0.22498305938826016,5.177749131394871,2.245789383510509e-07,3.342450049654525e-06
112174at3193,382.27281293333164,0.001887196023992434,0.21584725615516748,0.008743201361965767,0.9930240234995016,0.9960847366968774
112234at3193,404.5683424997963,-0.6464356179295127,0.23235182895789858,-2.782141293351492,0.005400152427573646,0.020421154035680122
112264at3193,179.23397519039534,0.9812231588536253,0.2544562553781441,3.856156561745525,0.00011518373253836346,0.000799039469098912
112427at3193,2025.976140643078,-0.5965783676755797,0.3410700224616023,-1.7491375037005563,0.08026725382007018,0.1726487646335185
112559at3193,59.871404036195734,-1.2871036031758134,0.4707310716349975,-2.734265232811797,0.006251966104985375,0.022511810845894355
112624at3193,181.0000600983668,0.9200150678537581,0.34522414656056805,2.664978904343082,0.007699315243747252,0.02624974260261658
112707at3193,440.5151331754917,-0.7566678768996911,0.23215284433288005,-3.2593521697917156,0.0011166695893366798,0.005440518115489173
112731at3193,2308.2389486232128,0.8882172162587904,0.29792467372739173,2.981348288968944,0.0028698220078723163,0.012097137035196182
112749at3193,543.2403330241211,0.9040340763998369,0.20403558545098657,4.430766693964784,9.389863773551133e-06,9.192413367097954e-05
112852at3193,252.81118622425663,-0.7323922323671435,0.25532915888680363,-2.8684237850477494,0.004125225734600804,0.016461615074264163
112854at3193,75.84307036965747,-0.14287456517855623,0.2956073846293325,-0.48332542624978486,0.6288646891639816,0.7403487683683366
112981at3193,525.7399373317999,-0.43630320776544634,0.22000304212994679,-1.9831689759441593,0.04734855803686431,0.11375599665966826
113013at3193,600.7085668966976,0.21868244488501315,0.2352001029803474,0.929771892588353,0.3524892021606647,0.5030414703859623
113107at3193,204.49861199907733,-0.21092163564167668,0.26469664693421313,-0.7968428693171111,0.425542294242366,0.5700471591475115
113165at3193,52.34790204232797,1.8100369335256294,0.37520986777010107,4.824065380483748,1.4066127520722111e-06,1.683916408909304e-05
113292at3193,503.6215346042054,-0.04011441735742489,0.20476011811515551,-0.1959093290562806,0.8446811352323375,0.9024771335065073
113368at3193,1227.7478630499534,0.37909463240144875,0.3091538161130958,1.226233067952061,0.22011098065058565,0.35913746453502876
113468at3193,250.46806947819184,-0.7487440749814926,0.2945121254626163,-2.5423200277590405,0.011011929542502975,0.03587868179089228
113561at3193,295.0854186077383,-0.1563723344013523,0.2233453068195993,-0.7001370954602486,0.483841691361069,0.6204183759635018
113914at3193,1317.7055132764983,0.035743638744563,0.20927507773476067,0.17079739800582078,0.8643830751026018,0.9141254630691322
114039at3193,327.81122351711156,-0.6231976488063012,0.3404106777228001,-1.8307229754813317,0.06714190198415874,0.15044094615701878
114204at3193,553.6202558667585,0.374637802706467,0.21715734238516096,1.7251905857366356,0.08449313172385953,0.17934459063980315
114291at3193,590.2722019272304,-0.31501595204435157,0.2632923726865567,-1.1964492128276367,0.23152130639800883,0.37425705008011456
114294at3193,216.43998446629698,0.004283046130488185,0.19200241137090365,0.022307251767866312,0.982202864248497,0.990346992976239
114379at3193,2273.2569928964326,-0.4902623167403821,0.20187677902703016,-2.428522582454809,0.015160480945905629,0.04616454590359345
114404at3193,530.889655257478,-0.10853735565229605,0.2000677617978227,-0.5425029733774792,0.5874720596818099,0.7065177755645188
114428at3193,587.213055951659,-0.05633844216474417,0.1859590067554032,-0.3029616212074504,0.7619191097087712,0.8441145081120442
114504at3193,465.54824826824347,0.2796488945859749,0.19779747669567999,1.4138142672882874,0.15741644336513305,0.282594214952831
114731at3193,394.15303217612126,0.18929334017806324,0.20430686069488135,0.9265148489592828,0.35417848392898243,0.504421430204771
114754at3193,355.71817745935783,0.7946209620008432,0.3526023625289255,2.2535894436488837,0.024222008049322778,0.06668213779675587
114802at3193,309.0422658673209,0.7759922719312664,0.24648691088556168,3.148208840556009,0.0016427428369232492,0.007611987307366115
114841at3193,927.4209139529554,0.24611360690220555,0.2716811332444352,0.9058914174977833,0.3649933274423549,0.5152702297787962
114923at3193,430.73811240740196,1.2640067875319128,0.2920423953833542,4.328161963856973,1.5035888513473553e-05,0.00013938135591029687
114997at3193,735.4330281543185,0.8518361946589242,0.17292161174061468,4.926140729804744,8.386960308719481e-07,1.0584748100462236e-05
115008at3193,24.137145404370855,-0.1841918753033861,0.625273611721403,-0.2945780404778295,0.7683162393248492,0.8482521122503519
115033at3193,79.14871082254977,0.7615362917104443,0.2681119193791211,2.840367162616151,0.004506163598736076,0.017612710334612088
115156at3193,634.8053567876972,0.4677077702230986,0.23209892684573538,2.0151225021990764,0.04389181502643715,0.10667442283107405
115189at3193,604.7309005519692,-0.41394279214090623,0.23582806542610182,-1.7552736625854135,0.0792125092224739,0.1711546450355242
115309at3193,1034.6198887777275,0.006960024093876824,0.21938281384708447,0.03172547553669424,0.9746909785691465,0.9843664904570927
