Locus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01010,150.09774869559826,-0.49847740872049584,0.2617268151300085,-1.9045714076827982,0.056835806227472654,0.1241097595891557
AT1G01020,279.3965014431494,0.8297709102307761,0.2797152177870824,2.966484686801677,0.0030122536116082275,0.011338213005891513
AT1G01040,1560.8913562045736,-0.150398758908833,0.20929611828153713,-0.718593159508684,0.47239162935325085,0.6125629311022494
AT1G01046,23.083665623008358,-0.9360129294169847,0.599978906330024,-1.5600763952560057,0.11874182895171712,0.22014697371874203
AT1G01050,1068.59545648471,-0.2249996607387342,0.15833619591157783,-1.421024797541456,0.15530955055434878,0.2712848874417765
AT1G01060,459.9683163370487,-4.223426715309634,0.4290709299995322,-9.843190064901945,7.334748506651276e-23,9.657051210524098e-21
AT1G01070,196.43795040058936,0.7618057038118906,0.39949555875137344,1.9069190811355212,0.05653106685948721,0.12356953086711778
AT1G01080,582.9162524522675,-0.5033205914423604,0.30074199314812033,-1.673595982302567,0.09421002866577899,0.184552166010343
AT1G01090,1186.4531034781935,-1.4148805965861675,0.2963879595132282,-4.773745191639674,1.8083115067177056e-06,1.958277229074443e-05
AT1G01100,1621.5525536265538,0.6019758461800065,0.22969965679546003,2.6207085137965453,0.008774725144816453,0.027425262605887176
AT1G01110,35.7936012433438,-0.8374675218786195,0.7346741389377585,-1.1399169747413278,0.25432089237884525,0.3938633719329583
AT1G01120,638.7245188028672,-2.580977233590926,0.30760981431624324,-8.390425511383427,4.8438576199797325e-17,3.50499135468864e-15
AT1G01140,4803.996403107971,0.39946492017166246,0.17659597136227806,2.262027367273173,0.023695712494151946,0.06191345835497157
AT1G01160,832.8487942856627,0.9186706372012705,0.25109824406222786,3.6586103603878763,0.00025358653863547854,0.0014146396553188483
AT1G01170,985.5540701618185,0.281019204082816,0.27039271195586473,1.0393002165261236,0.29866513417935014,0.44287315346751527
AT1G01180,258.16279850152716,-0.8650660230541948,0.3867239371448346,-2.2369083988980307,0.025292327515118545,0.06530432720690664
AT1G01210,249.66593075588995,0.9419571663366275,0.32227629642364736,2.9228248456050907,0.0034687158244250038,0.012752610287950083
AT1G01220,408.4249030836184,-0.3196408243421964,0.16286101649675874,-1.9626601332711064,0.049685678404523675,0.11171621912450104
AT1G01230,539.4460084051279,-0.630503083264993,0.25560476257645753,-2.4667110147307776,0.013636035769788824,0.03946134892823865
AT1G01240,1335.5174764824194,0.060690678392844956,0.18022263045851641,0.33675392617696104,0.7363024079505512,0.8268174596397398
AT1G01250,33.32068943132299,-1.527345898738045,0.8321639854206153,-1.8353905305888139,0.0664478457808678,0.14014940917379465
AT1G01260,802.7310228745118,-0.13420454597805612,0.5590611247987858,-0.24005343964196812,0.8102888286838295,0.8769990530368094
AT1G01290,385.7968054989556,0.21521711765191048,0.18276507122076435,1.177561534128952,0.23897145245221096,0.3758761433477648
