,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GAD3,542.6767654791165,0.2570538011950217,0.30535676145751667,0.841814669398715,0.39989169948602643,0.46681907453942284
LOC101263636,1208.5725217703964,-2.6006650632209873,0.15484223912631428,-16.795579022203793,2.6292598834396157e-63,2.273877761166252e-61
sos1,534.9342396767564,0.5628141017045064,0.18344134319407998,3.0680875527009857,0.002154334894538699,0.004103929999203452
LOC101263144,459.54253595924644,1.6402075764579,0.1873518894037166,8.75468927310088,2.0466656314369356e-18,1.9554786097873335e-17
LOC101247154,34.84920574469504,-4.553905446181003,0.6583357735807813,-6.917299087989199,4.6033555504238555e-12,2.564209633938852e-11
LOC101262550,31.274656018609715,-0.924410368028791,0.5051975675960396,-1.8297997205876444,0.06727989261411432,0.09642596295375398
LOC101261948,946.791136771354,-0.32424572565705856,0.15477411650697925,-2.094960920952421,0.03617446653894538,0.054953805716139933
LOC101261647,394.7294386495029,0.2571453348700804,0.18729597118345698,1.3729357510749964,0.16977232113560536,0.22103158722446722
LOC101261146,218.85430092757815,-0.9348168076023691,0.2266678026883256,-4.1241711284763625,3.7207219556920684e-05,9.29348056214286e-05
LOC101260851,1357.9950501294286,-1.348805464951934,0.1944938715310067,-6.934950979866243,4.063620444538361e-12,2.2724939954110852e-11
LOC101260165,593.4969461541012,-0.1700051469059298,0.20135496292488556,-0.8443057197917161,0.3984985906912376,0.4653992607064787
LOC101259279,1153.80514854151,-0.23713226594175058,0.2287214911415521,-1.0367729974049233,0.2998416627412773,0.3645556906710494
LOC104645776,16.74398445959543,5.407347028689691,1.185732913015754,4.560341514799336,5.107049446213098e-06,1.4334444285950249e-05
LOC101258984,349.8438405657028,-0.4649759259141892,0.24268850777970014,-1.915937141680684,0.055373097151063394,0.08073033815747833
LOC101245689,178.5222655474689,1.8491166778288657,0.32343239130975143,5.717166021438977,1.0831527982800145e-08,4.224594049781102e-08
LOC101258399,2332.212555455703,0.9822358802411225,0.19547759155756422,5.024800399957218,5.039563960343628e-07,1.6136590946200238e-06
LOC101258686,1365.297064271384,0.5738294525595699,0.20285652663749842,2.828745330856396,0.004673086883664066,0.008372197382219
LOC101258093,51.751939304343956,-0.6188464568725616,0.3994180457815979,-1.5493702986342968,0.12129272944035704,0.16377141164119455
LOC101257498,496.6769547448609,0.04230765264013885,0.1908415198193295,0.22168997962388734,0.8245552311366271,0.8576584930981258
LOC101257203,26.77742677481263,-0.42123361419910643,0.49720313442786607,-0.8472062725103733,0.39688015791888365,0.4638031712886986
LOC101257795,19.509901141381206,2.7610492628583234,0.6241935898498207,4.423386122120582,9.716585813601719e-06,2.6298740416155932e-05
LOC101256908,636.9871647526253,5.521131141725655,0.4344301234865782,12.708904938301846,5.276819236145045e-37,1.5093833408234145e-35
LOC101255723,1310.8462569558803,1.0949810103728859,0.21361239369931248,5.126018165005049,2.959340669790965e-07,9.759043050164584e-07
LOC101256026,157.7122797561573,0.8409810667702803,0.27483815468213,3.0599138163437862,0.002214006919080052,0.004206727329177271
LOC101247547,20.697586786279697,1.5855973028336237,0.6123648188922034,2.5893017592062906,0.009617077843628804,0.016279745539191894
LOC101253310,327.4363513352943,2.3590721445865097,0.2536883262377067,9.299096176684348,1.416445909776722e-20,1.5596144712490731e-19
LOC101245281,50.2366785160057,-1.053906626055576,0.4537082491400558,-2.3228729652879734,0.02018597784633621,0.03223352096977803
LOC101245874,1193.5485376375448,3.64866284183561,0.27130656935930053,13.44848689234488,3.1423670374320546e-41,1.126177883201087e-39
LOC101251912,481.8181189413961,0.8567778766448082,0.24863215985988907,3.4459656270034644,0.000569022732523065,0.0011960255312422844
LOC100191114,6826.149442973582,-0.2225650151747603,0.21229402218534463,-1.0483809806968964,0.2944631127323686,0.35905904545197337
LOC101254415,650.5404836520859,-0.5254548720080218,0.19793378627409638,-2.65470025051902,0.00793789094828732,0.013642833472513594
LOC101251712,55.91002539089831,-1.0843106640031828,0.3979113147658708,-2.7250058587582164,0.006430034606118888,0.011231525457928698
LOC101250247,409.81174641599773,1.3546267816974564,0.3522291992336476,3.8458673631963114,0.00012012673546129327,0.000279647996200238
LOC101266061,111.60236915622689,-0.010057743027527807,0.25167690775825746,-0.03996291561714731,0.9681226917110058,0.9741513139240967
LOC101254822,474.21870202664854,-0.6259134194080231,0.18367425458795086,-3.407736270998774,0.0006550417147131721,0.0013609884307163706
LOC101254513,10793.579999848784,-0.6447688153012586,0.16178703466139804,-3.985293485665812,6.739677175613798e-05,0.0001625659201937695
LOC101252018,315.2261995638165,-1.4221545136721156,0.18862120267800808,-7.539738340550454,4.709153811836213e-14,3.170721504898785e-13
LOC101243628,1033.8574521369812,-2.291109731653632,0.1985781232473197,-11.537573697381372,8.529732354576071e-31,1.7247661877458376e-29
LOC101253614,2393.2649374078087,-1.2345868083627451,0.19838470501833247,-6.22319552431554,4.871296773462507e-10,2.228312834962822e-09
LOC101268602,4744.117238598762,1.2891243795020728,0.15059555051705556,8.560175749389582,1.126955931545283e-17,1.020130477395364e-16
LOC101267835,1244.9046707032428,-0.14010675323125404,0.1637830733736057,-0.8554409826689259,0.39230706356660594,0.45918721679758856
LOC104645726,773.768528594945,-4.801179771479415,0.3092582369500055,-15.524824233721448,2.3564889279404023e-54,1.4968580186755226e-52
LOC101265466,1121.2946919356998,0.02652087903433266,0.14247152021749646,0.18614863513666444,0.8523282030519432,0.8809256482309289
ACI36,18780.161110153487,-0.9711317532837556,0.1343061725460423,-7.230730612554953,4.804024556965732e-13,2.9177361148653397e-12
LOC109120141,29.995877301770488,0.162757438560402,0.4741183861749187,0.343284384884317,0.7313845269354291,0.7771593430247774
LOC112940785,27.28381418236349,-0.283023966077644,0.47157881226813436,-0.6001626000040049,0.5483978761429507,0.6117256434800348
LOC101257399,265.1121848660832,-1.4631026892825265,0.21375685314291448,-6.844705410704746,7.663340481852551e-12,4.182708000480173e-11
LOC101244517,124.23899256738007,-0.971585659616125,0.27944448832466207,-3.476846744915308,0.0005073477273950076,0.0010754720927898084
LOC101244985,107.97050226206966,0.14966572613605084,0.33097685730612464,0.45219393088146687,0.6511292800152537,0.7055145266255507
LOC101256797,883.2875720818133,1.0167124278094541,0.14377512406922985,7.071546169001335,1.532168085329434e-12,8.928841600712909e-12
LOC101246852,215.69202652511146,-0.540921367459758,0.2115318796940312,-2.557162391986352,0.0105529939671964,0.01772925030889693
LOC101268306,375.78674245268013,-1.8053193214897818,0.3291728767052616,-5.484410925831682,4.148494466302338e-08,1.5099667370826986e-07
LOC101246079,203.93511148299703,-2.2981887918126196,0.3565555740259111,-6.445527595778404,1.1519896274168774e-10,5.605071560128446e-10
LOC101258584,80.99301781501687,0.6784745214667222,0.29488337364241807,2.300823247801875,0.02140162383369138,0.033945179321545456
LOC101257100,822.3651236342143,-0.17699010279857727,0.15263025326145538,-1.1596004004225395,0.2462115378929124,0.30688563093073545
LOC101259473,3544.5603308554273,-0.028167216499994277,0.15063362507370262,-0.18699155972786627,0.8516672505897518,0.8804537388310134
LOC101255913,658.598153458367,-0.2582382337497367,0.1742768573812723,-1.4817700848528548,0.13840148150989479,0.18433184085704374
LOC101245577,766.0803206681904,0.909856562616132,0.20302044933735455,4.4816005756358255,7.408530414179068e-06,2.0353846198298674e-05
LOC101247953,796.6511384899823,-0.1920111499239987,0.4375997373238449,-0.43878259867852987,0.6608190702657019,0.714542621117897
LOC101258889,251.0587637130719,0.5136662771276916,0.19092710779097102,2.6903789779817897,0.007137091668137563,0.012343664033307862
LOC101262945,880.2246794717097,-0.3729553980412518,0.19832037568872724,-1.880570247742078,0.06003040214140991,0.08686724570674878
LOC112940757,24.827210253510447,1.3179543253714312,0.5020939498667051,2.624915766703262,0.008667040562556658,0.014788398870216395
LOC101243629,260.322719413103,0.791703800285479,0.2676807006686344,2.9576424385766233,0.0031000148691128796,0.005728295105219014
LOC101264048,279.44888287982013,2.5239639087780334,0.23416794208560604,10.778434854482917,4.352280338574762e-27,7.082451953788488e-26
LOC101252803,996.079371358422,-0.6098543757562302,0.17136197998173228,-3.558866300571706,0.0003724590633321803,0.0008072794923687604
LOC101244218,687.0874181171363,0.5834880741927764,0.17485382292268226,3.3370049589981576,0.0008468643714772046,0.0017304590778681737
LOC101255619,134.49674464844114,0.5866639363375064,0.29482206398519156,1.989891558343386,0.04660288248426225,0.06915908307762789
LOC101247847,237.66892129929238,1.634232738761812,0.2655913643442543,6.153184772391739,7.594224002554559e-10,3.3979402562802414e-09
LOC101250539,1114.4159529698343,-1.8245543199000585,0.31308626271508805,-5.827640932174731,5.621637070733254e-09,2.2804707438885106e-08
LOC101254228,376.41085552715305,0.753647634660208,0.2146602958685443,3.5108851015547557,0.0004466173913841543,0.0009563104692185874
LOC101266547,136.59927153180828,1.4825852860820912,0.2328907423819725,6.366012109019128,1.940061228539497e-10,9.203674450405891e-10
LOC101264357,2165.7045311055676,2.7437677352593175,0.2957637382262291,9.27689023581591,1.7449708320286148e-20,1.911064666872718e-19
LOC101264751,263.41557146987844,0.918278197224437,0.2280935921237788,4.025883360748328,5.6761821695367476e-05,0.00013812543163148802
LOC101264962,42.87715584946525,-0.06551123514161988,0.4165221836103779,-0.15728150316934916,0.8750229971555293,0.8995367280876169
LOC101265056,33.32240181378938,2.2046268999991327,0.49784583970994256,4.428332475939949,9.496443638012406e-06,2.5740728112982126e-05
LOC101267441,845.6653582538161,-0.48815920909880745,0.14115516447956433,-3.458316320898627,0.0005435627754168707,0.0011472238641102401
LOC101265359,3093.7346642189623,-0.8685245411210155,0.15927930546597455,-5.45283983113896,4.95717158983238e-08,1.7859584951359726e-07
LOC101267437,2750.7222176063387,-1.2772855070400295,0.17520002102000026,-7.290441517094446,3.0894089339710847e-13,1.914872206348632e-12
LOC101253924,822.6388966825925,-0.34815963977323594,0.19523687262700853,-1.7832678586200243,0.07454271084553603,0.10579792560949373
LOC101249479,5422.194905482596,0.13949416911174084,0.16549794440014257,0.8428755391334073,0.39929805516640726,0.46618516125113374
LOC101264660,131.94611749067226,1.784754349581032,0.2933315863533894,6.0844260646068316,1.169093351113033e-09,5.123946563007257e-09
LOC101256211,42.07802968741101,0.7087158163625907,0.4215364605305285,1.6812681291450569,0.0927108454718229,0.12892175469437983
LOC101263446,5022.406930199865,0.02215363516215341,0.1569860465406219,0.14111849842922766,0.8877763302571473,0.9096016341101791
MIR6026,348.08522240693895,4.1756391464936895,0.23815824144369585,17.533044925009968,8.015951883940992e-69,8.685991156122176e-67
LOC101250245,202.59341949282555,0.6672921431231479,0.2227073209520008,2.9962739449726787,0.0027330078865376263,0.005103369313523528
LOC101249673,922.2694148007989,0.3960981915175137,0.14586809506136647,2.7154546122705985,0.0066184847819837165,0.011531174517064412
LOC101252319,40.48114723688136,0.5019738150265104,0.4322739666618031,1.1612399860740124,0.24554431776983232,0.3061782899639939
LOC101254122,70.82224640822118,1.5653417111249026,0.3684619373317171,4.248313197451558,2.153861372933796e-05,5.576427315644899e-05
LOC101249952,226.0716549318316,-1.0855670323901614,0.1956005659449556,-5.549917645410358,2.85804199172114e-08,1.0597421805453929e-07
LOC101265950,2471.3130517985023,0.38451183079688184,0.19298633878084948,1.992430309968852,0.04632386449319891,0.06878935169925168
LOC101261260,31.48296823045752,-0.3126217652691762,0.5585097718833139,-0.559742695664939,0.5756549554607663,0.6368766525308359
