,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
10772at3193,233.10701269792617,-1.2412625500892391,0.22383968355868292,-5.545319446289441,2.934179771394204e-08,1.2172511786403352e-07
10950at3193,5488.204146848817,-1.5670007243827813,0.3105719956516128,-5.045531298129597,4.5226285013456973e-07,1.611740647293295e-06
109808at3193,48.22790625495156,0.2021250736500247,0.3094531579210305,0.6531685603337908,0.5136476164397707,0.5750849340118789
109859at3193,59.33775659351527,-0.7923136405326072,0.28228484703720197,-2.8067877140716275,0.005003820521151309,0.009408045307440521
109895at3193,4855.339199958258,0.4065352707168209,0.19613585578396475,2.072722853717283,0.03819807962708513,0.05972955399428618
109903at3193,107.00815910448428,-0.6018662024571781,0.31704715131588806,-1.8983491886275057,0.057650098303452094,0.08588447021846245
109997at3193,692.6753123772061,-0.2800132535476507,0.1272478834955041,-2.2005336816273577,0.027769052971431937,0.044696903712688606
110108at3193,622.6199256368473,-1.4966493254660214,0.19037243673661053,-7.861691278011575,3.789811530741277e-15,3.0613255364987875e-14
110263at3193,757.4307159861286,-1.4768346161116523,0.1784749097280653,-8.274746396352535,1.2872930900486794e-16,1.1846355398296075e-15
110477at3193,773.4049735782324,1.5439201474347286,0.1308344695571191,11.800561065145688,3.877176695748949e-32,9.395691526031619e-31
110480at3193,410.92665602153346,0.5827573172731231,0.16030767335446755,3.6352428120177844,0.00027771893599570655,0.0006436822522918555
110509at3193,63.94369993378863,-1.432119313614202,0.31097098169461357,-4.605314958360336,4.1184205635066066e-06,1.2831821784297012e-05
110660at3193,578.9829727965188,0.8848466941440856,0.26702498897640026,3.313722425515346,0.0009206285100527153,0.0019723878000245305
110707at3193,1162.350378768486,-2.9396968151892544,0.1441035414801463,-20.399892917234567,1.675821266996153e-92,7.309932366637219e-90
110743at3193,76.13678845791411,0.9088886141552023,0.24975125273379886,3.639175396345078,0.0002735124670214477,0.0006352829505578035
110907at3193,159.08241189097316,0.14015650679052993,0.17251521233196104,0.8124298425395371,0.4165450281717007,0.48221056605227136
110912at3193,86.10254049319792,0.4445304397364686,0.2508216294783332,1.7722970728681458,0.07634525688769148,0.11130281101073203
111002at3193,310.13031644540064,0.2978966012436132,0.1604692033097688,1.8564097976392104,0.06339516927184376,0.09399378938265888
111117at3193,805.6263865238785,0.7676159245296766,0.15478302029474245,4.959303178526685,7.074648402536924e-07,2.480676554008526e-06
111264at3193,440.012144939496,1.2181294345899845,0.16667999981841267,7.308191960145545,2.7076080800723895e-13,1.892722186742911e-12
111281at3193,1765.2428614254197,-2.8523398669218416,0.15567853867951836,-18.321985105433843,5.52599201399087e-75,8.608706130367204e-73
111480at3193,70.80009686022075,-0.35786247132689813,0.25690447413166356,-1.392978742532501,0.16362621896208174,0.21934160021899216
111504at3193,500.03535790289453,3.348756036033014,0.22643565900519308,14.788995914977393,1.7250804376764383e-49,1.1065883631095035e-47
11159at3193,332.00912610155,1.9028673783356866,0.22858916843591912,8.324398707759075,8.475787102160898e-17,7.967970547333154e-16
111675at3193,565.5109870974619,-0.4949796715339441,0.20876485980634304,-2.37099132484798,0.017740447474547907,0.029831855005388576
111833at3193,393.5034134177224,-0.7507299729793502,0.14067927603079944,-5.336464575030868,9.477637855413115e-08,3.7446971309159423e-07
111841at3193,43.93571753958113,1.0093897421208275,0.2918350000273416,3.458768626197198,0.0005426508452732352,0.0011952681080021788
111902at3193,245.61163258049103,-0.8049180749434326,0.19434114807194283,-4.141778943517722,3.4462241247902836e-05,9.346911162759326e-05
111938at3193,631.1144886095491,0.29751912600634606,0.285734211683337,1.041244323714619,0.2977621693681207,0.3638203313119727
112017at3193,288.8427587439981,0.21194491369268695,0.17609741490972136,1.2035662976730421,0.22875725229619126,0.29159530523553073
112084at3193,21706.844160972225,0.0035719626732224814,0.19166713605925925,0.018636281350382932,0.9851312595242101,0.9864881896337475
112088at3193,604.9253536610332,1.9452824725214037,0.15375255093133,12.65203380846812,1.0901571347789676e-36,3.715051110863951e-35
112126at3193,69.03176656228844,-1.2392307928358857,0.2743281124909238,-4.517330657742509,6.2624074434843575e-06,1.8969875880888035e-05
112234at3193,55.386466577860936,-2.3667872917024924,0.37269492215591254,-6.350468307996895,2.1466043258139517e-10,1.1617230855087415e-09
112427at3193,2812.40255265896,-0.5157762344835314,0.29080151743796967,-1.773636668156488,0.0761232683231757,0.11105341017581685
